순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
807,발정난 새엄마 한 번으론 모자라,2023-02-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,성인물(에로),키무라 히로유키,쇼우다 치사토
807,밝히는 이웃집 아줌마,2023-01-26,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)코빈커뮤니케이션즈,청소년관람불가,성인물(에로),키토루네 가와구치,
807,밤꽃 냄새가 좋은 새엄마,2023-03-10,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",츠지 코지,
807,밤낮 없는 택시 기사 : 나 하고 싶어,2023-03-30,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",이시다 마모루,
807,베리얼: 라스트 미션,2023-03-20,"6,000",0.0%,"6,000",1,1,1,1,영국,영국,,(주)누리픽쳐스,15세이상관람가,"전쟁,스릴러",,"샤롯 베가,톰 펠튼,해리엇 월터,배리 워드"
807,보지만 말고 넣어,2023-03-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,
807,부장님 몸수발 하는 내 아내,2023-02-06,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,성인물(에로),디렉터 O,
807,부장님이 보고 있어요 : 안에만 하지마,2023-02-24,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",사쿠라비토,
807,부하 몰래 삽입한 그의 아내,2023-02-21,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)코빈커뮤니케이션즈,청소년관람불가,성인물(에로),,
807,빨아주는 여자,2023-02-17,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)룬컴퍼니,(주)룬컴퍼니,청소년관람불가,"성인물(에로),드라마",안해영,
807,뼈가 부서질 정도로 안아줘,2023-01-05,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),마메자와 마메타로,
807,사디스트 드라이버 히카리:동정 냄새는 못참아,2023-01-06,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",이시다 마모루,
807,삽입하면 죽지않는 물건,2023-03-07,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)코빈커뮤니케이션즈,청소년관람불가,성인물(에로),,
807,새아들:널 위한 밤,2023-03-17,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",츠지 코지,
807,새아빠 : 나를 허락해줘요,2023-03-30,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",버드맨 텟페이,
807,새엄마 구멍 채우기 무삭제판,2023-01-25,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,시노다 아유미
807,새엄마 나랑 하니까 좋아?,2023-03-30,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",츠지 코지,
807,새엄마는 궁합친구 무삭제판,2023-01-25,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,아베노 미쿠
807,새엄마는 잘빠는 체질 무삭제판,2023-01-25,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,스노하라 미키
807,새엄마들의 떡정,2023-02-01,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
807,새엄마의 뜨거운 속살2,2023-01-13,"1,000",0.0%,"1,000",1,1,1,1,일본,일본,,주식회사 미콘,청소년관람불가,"성인물(에로),멜로/로맨스",카리노나 마이,사와무라 레이코
807,새엄마의 음란 서비스 무삭제판,2023-01-25,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,
807,섀도우 마스터,2023-03-27,"6,000",0.0%,"6,000",1,1,1,1,미국,미국,,(주)누리픽쳐스,청소년관람불가,액션,피어리 레저널드 테오,D.Y.사오
807,세웠더니 싸드라 무삭제판,2023-03-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,엔도 시호리
807,세자매 노래방,2023-03-15,"1,000",0.0%,"1,000",1,1,1,1,한국,한국,P&미디어,P&미디어,청소년관람불가,성인물(에로),함성한,
807,세자매의 교환섹스,2023-01-14,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",이시다 마모루,
807,섹스 디자이너 레이코,2023-02-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,성인물(에로),카토 스케로쿠,코바야카와 레이코
807,섹스도시:옆집여자의 젖어버린 팬티,2023-03-08,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",나베,
807,섹스에 눈 떴어 : 아무나 와줘요,2023-01-25,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",디렉터 O,
807,섹스중독:바지 잘 벗기는 아줌마,2023-03-17,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",사쿠라비토,
807,섹시도우미:망사팬티 사이 듬뿍듬뿍,2023-02-17,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",이시다 마모루,
807,소녀탈출 무삭제판,2023-02-10,"1,000",0.0%,"1,000",1,1,1,1,한국,한국,핑크하우스TV,엔트리커뮤니케이션즈,청소년관람불가,성인물(에로),에로핑,
807,소중한 아내를 드립니다,2023-02-16,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),나가에,
807,수지의전라실제정사-무삭제,2023-03-22,"1,000",0.0%,"1,000",1,1,1,1,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,성인물(에로),김승환,
807,수컷 냄새 나요 : 잔뜩 쌓였어,2023-02-24,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",버드맨 텟페이,
807,술도녀:하고 보니 옆집남자,2023-03-17,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",디렉터 O,
807,술에 젖은 형수,2023-03-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",버드맨 텟페이,
807,쉽게젖는 새엄마 무삭제판,2023-01-31,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,
807,스스로 벌리는 친구 엄마,2023-02-21,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)코빈커뮤니케이션즈,청소년관람불가,성인물(에로),,
807,스와핑 : 2대1,2023-01-20,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),조희운,
807,스와핑 스튜디오,2023-03-03,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,선셋 시네마,선셋 시네마,청소년관람불가,"성인물(에로),멜로/로맨스",이상수,
807,스와핑 어린커플2,2023-01-11,"1,000",0.0%,"1,000",1,1,1,1,한국,한국,영화사 레드카펫,주식회사 루믹스미디어,청소년관람불가,성인물(에로),한승연,
807,슬기로운 성생활,2023-01-06,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),신세계,
807,슬기로운부부의성생활,2023-02-28,"1,000",0.0%,"1,000",1,1,1,1,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,성인물(에로),김레이,
807,시아버지 소원 들어드릴게요,2023-02-24,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",사쿠라비토,
807,시크릿 홈비디오,2023-01-26,"1,000",0.0%,"1,000",1,1,1,1,캐나다,캐나다,,(주)픽쳐레스크,청소년관람불가,"성인물(에로),멜로/로맨스",,
807,쓰리썸 : 여비서와 아내 무삭제,2023-03-06,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),최경찬,
